download,upload,ping,timestamp,bytes_sent,bytes_received
724387985.0817487,24577284.431146644,28.214,2023-11-08T22:17:01.346453Z,30883840,409373932
653121684.6309495,24030029.928871177,28.184,2023-11-09T22:17:01.587947Z,30130176,409373932
591722255.1580237,24054472.924026303,21.255,2023-11-10T22:17:01.406220Z,30842880,409373932
524415175.09558064,24586908.756048784,19.144,2023-11-11T22:17:02.075472Z,30875648,409373932
481545333.5460319,24488522.960258618,23.273,2023-11-12T22:17:01.365455Z,30793728,409373932
753248033.8382474,24162037.593740012,32.045,2023-11-13T22:17:02.154165Z,30367744,409373932
507209594.56181484,24619155.77008401,27.185,2023-11-14T22:17:01.484295Z,31096832,409373932
93476292.4822557,24571077.486081433,25.082,2023-11-15T22:17:01.677798Z,30834688,117020048
589218202.2028407,23463036.866033316,17.597,2023-11-16T22:17:01.391853Z,30244864,409373932
738004788.3438232,24259004.459161792,26.085,2023-11-17T22:17:02.062544Z,30408704,409373932
441164186.1986556,22980959.59640361,38.485,2023-11-18T22:17:02.211143Z,28893184,409373932
853343657.4933267,24209715.49558359,20.453,2023-11-19T22:17:01.520077Z,30375936,409373932
605828411.2428237,24972478.6222494,22.096,2023-11-20T22:17:01.727154Z,31375360,409373932
508908016.12216324,24762616.771101687,16.728,2023-11-21T22:17:01.930120Z,31080448,409373932
781750029.5793895,23107515.14067805,27.14,2023-11-22T22:17:02.070704Z,29736960,409373932
626433829.0861375,23915979.84502738,22.59,2023-11-23T22:17:01.491301Z,30687232,409373932
720867112.2622918,23900069.685206596,27.052,2023-11-24T22:17:01.342552Z,30007296,409373932
576185356.3916849,23206674.28173549,27.746,2023-11-25T22:17:01.433385Z,29671424,409373932
534590547.4095265,23825029.01845184,22.436,2023-11-26T22:17:01.614313Z,29835264,409373932
712334206.5466862,23562905.217787586,28.629,2023-11-27T22:17:01.341199Z,30048256,409373932
522519996.5952417,24105076.238226667,17.623,2023-11-28T22:17:01.637446Z,30351360,409373932
674091757.6954931,23359040.887707863,37.059,2023-11-29T22:17:01.492253Z,30130176,409373932
434549282.65180385,22856541.48291459,31.574,2023-11-30T22:17:01.805452Z,29245440,409373932
422638512.62208766,24014819.046398778,19.312,2023-12-01T22:17:01.798245Z,30711808,409373932
749491120.1962882,23604661.10575374,21.829,2023-12-02T22:17:01.369511Z,29794304,409373932
785078253.156753,23690831.97268438,28.566,2023-12-03T22:17:02.209623Z,29777920,409373932
378022219.65986633,23626397.486580208,27.759,2023-12-04T22:17:01.745599Z,29884416,409373932
497606114.1199617,24095528.00338037,19.388,2023-12-05T22:17:02.068994Z,30433280,409373932
639120166.0273337,24037978.077448633,21.202,2023-12-06T22:17:01.522536Z,30236672,409373932
669923653.9942641,20192370.96419538,27.228,2023-12-07T22:17:01.523086Z,25812992,409373932
779471727.9828029,22850570.85739586,28.771,2023-12-08T22:17:01.356488Z,28729344,409373932
730247080.7237426,23427534.159446623,26.205,2023-12-09T22:17:01.588043Z,29777920,409373932
586280709.72689,23547837.922718037,28.258,2023-12-10T22:17:02.039147Z,30220288,409373932
422476679.66712636,22184875.806603253,28.929,2023-12-11T22:17:01.891552Z,28352512,409373932
614182365.7678114,23623748.772159867,26.714,2023-12-12T22:17:01.950814Z,30670848,409373932
792368504.6484864,23857636.046599094,29.829,2023-12-13T22:17:01.969276Z,29917184,409373932
789344311.793784,24236718.963554107,30.543,2023-12-14T22:17:02.221040Z,30507008,409373932
509646008.88817143,24552934.66726969,21.781,2023-12-15T22:17:01.769314Z,30777344,409373932
562878630.4829786,24802453.800069414,24.057,2023-12-16T22:17:01.944325Z,31080448,409373932
724637784.9220359,23584251.620013077,27.171,2023-12-17T22:17:02.172327Z,30253056,409373932
536036274.0101586,24603703.131345637,26.777,2023-12-18T22:17:01.768455Z,30892032,409373932
497446518.033072,24420929.157545455,21.243,2023-12-19T22:17:02.075140Z,30769152,409373932
826994281.6907985,24214300.253509182,19.209,2023-12-20T22:17:01.643601Z,30449664,409373932
712916972.2366018,23543661.063448932,25.892,2023-12-21T22:17:01.308524Z,29548544,409373932
497362790.1151494,24556733.210855573,16.522,2023-12-22T22:17:01.954528Z,30818304,409373932
659002430.0284402,25163053.554701854,20.198,2023-12-23T22:17:02.136094Z,31662080,409373932
677780529.7693329,24023841.907175694,28.162,2023-12-24T22:17:01.974366Z,30244864,409373932
607046878.5663722,24042510.810294338,21.726,2023-12-25T22:17:01.844037Z,30138368,409373932
461743001.02902454,22272371.903980576,27.535,2023-12-26T22:17:01.469210Z,29114368,409373932
602629022.9931358,23551862.786555916,25.052,2023-12-27T22:17:02.330504Z,30384128,409373932
784889377.8757539,22583892.063378662,20.535,2023-12-28T22:17:01.314452Z,28524544,409373932
802960935.9726548,23937780.75416853,28.484,2023-12-29T22:17:02.317234Z,30121984,409373932
477869709.3552625,24585699.187355004,15.059,2023-12-30T22:17:01.624647Z,30875648,409373932
510794662.58915097,24282752.134419244,17.101,2023-12-31T22:17:02.214934Z,30441472,409373932
566647106.1000264,24695553.026443027,26.3,2024-01-01T22:17:01.914883Z,31023104,409373932
825266759.75763,23597222.32328326,18.562,2024-01-02T22:17:02.234173Z,29761536,409373932
671029203.8942174,24622175.274594754,22.753,2024-01-03T22:17:01.784791Z,30875648,409373932
434821465.4556804,22525837.69378442,26.991,2024-01-04T22:17:02.246329Z,28876800,409373932
511428260.3690958,24576153.325864505,15.785,2024-01-05T22:17:01.539913Z,30900224,409373932
